,invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Percentage of sales per store
59,INV-19122600110,2019-05-02 00:00:00,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411.0,POINT (-91.701581 42.030129),57,LINN,1091200,Neutral Grain Spirits,434,LUXCO INC,41846,Everclear Alcohol,12,750,9.0,13.5,36,486.0,27.0,7.13,0.7932598376461533
60,INV-19169000013,2019-05-06 00:00:00,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14,CARROLL,1062100,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Mini,12,500,5.54,8.31,12,99.72,6.0,1.58,0.16276516668739588
61,INV-23393500001,2019-11-21 00:00:00,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401.0,POINT (-93.235588 43.148451),17,CERRO GORD,1091300,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,986845,Ole Smoky Blackberry Moonshine Mini,8,50,8.75,13.13,48,630.24,2.4,0.63,1.0286915227944682
62,INV-23548800092,2019-11-27 00:00:00,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556.0,POINT (-91.978702 41.006456),51,JEFFERSON,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,6,21.78,6.0,1.58,0.03554979272414242
63,INV-23543600014,2019-11-27 00:00:00,3549,Quicker Liquor Store,1414 48th St,Fort Madison,52627.0,POINT (-91.373211 40.62422600000001),56,LEE,1081100,Coffee Liqueurs,421,SAZERAC COMPANY  INC,67586,Kapali Coffee Liqueur,12,750,5.72,8.58,36,237.24,27.0,7.13,0.38722832074727037
64,INV-23609300026,2019-12-02 00:00:00,4962,Hilltop Grocery,1312 Harrison St,Davenport,52803.0,,82,SCOTT,1091200,Neutral Grain Spirits,434,LUXCO INC,41844,Everclear Alcohol,24,375,4.2,6.3,3,18.9,1.12,0.29,0.03084899368623929
65,INV-23689100001,2019-12-05 00:00:00,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77,POLK,1011800,Iowa Distillery Whiskies,566,"Foundry Distilling Company, LLC",926577,Glen Oaks Whiskey Buy the Barrel,6,750,19.0,28.5,66,1881.0,49.5,13.07,3.070209371630482
66,INV-23807400003,2019-12-10 00:00:00,5446,Pump N Pak,1004 Main St.,Rock Valley,51247.0,POINT (-96.294824 43.200164),84,SIOUX,1081500,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,6,21.0,6.0,1.58,0.03427665965137699
67,INV-23828600019,2019-12-11 00:00:00,5146,Fareway Stores #153  /  W Des Moines,329 Grand Ave,West Des Moines,50265.0,POINT (-93.70689 41.58269000000001),77,POLK,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67526,Kahlua Coffee,12,750,12.49,18.74,72,1349.28,54.0,14.26,2.2023243492576166
68,INV-23879500055,2019-12-12 00:00:00,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401.0,POINT (-93.235588 43.148451),17,CERRO GORD,1091300,Neutral Grain Spirits Flavored,346,OLE SMOKY DISTILLERY LLC,86843,Ole Smoky Salty Caramel Whiskey,6,750,10.0,15.0,18,270.0,13.5,3.56,0.4406999098034185
69,INV-23938500001,2019-12-16 00:00:00,4136,Fareway Stores #983 / Grimes,351 Gateway Dr,Grimes,50111.0,,77,POLK,1091100,American Distilled Spirit Specialty,154,DUNKEL CORPORATION,77805,Saints N Sinners Apple Pie,12,750,8.0,12.0,108,1296.0,81.0,21.39,2.1153595670564087
70,INV-24014800058,2019-12-18 00:00:00,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501.0,POINT (-95.8792 41.238092),78,POTTAWATTA,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68,0.2843983417931394
71,INV-24096400014,2019-12-23 00:00:00,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14,CARROLL,1011600,Straight Rye Whiskies,65,Jim Beam Brands,27189,Basil Hayden Dark Rye,6,750,23.62,35.43,18,637.74,13.5,3.56,1.0409331869556744
72,INV-24116900112,2019-12-23 00:00:00,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241.0,POINT (-91.591868 41.682337000000004),52,JOHNSON,1092100,Imported Distilled Spirit Specialty,353,"John Ernest Distillery, Inc.",65750,Maestro Agavero Gold,12,1000,7.0,10.5,48,504.0,48.0,12.68,0.8226398316330479
73,INV-24268000020,2019-12-31 00:00:00,3993,New Star Liquor / W 4th S / Waterloo,1625 West 4th St,Waterloo,50701.0,,7,BLACK HAWK,1062100,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Mini,12,50,5.54,8.31,4,33.24,0.2,0.05,0.0542550555624653
